"","link","page","ad_url","ad_number","text","title","price","n_photos","n_views","ad_date","seller_name","location","seller_age","n_all_time_ads","n_active_ads","scrape_time","province","type"
"1","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/482426/carbon-s-works-stumpjumper-1x12-xx1-carbon-wheels",1,NA,NA,NA,NA,"NA for bikehub",NA,NA,NA,NA,NA,NA,NA,"NA","dual suspension bikes"
"2","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/484276/scott-speedster-with-c1-carbon-fork",2,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Scott speedster Front Derailleur Shimano 105 Rear Derailleur Shimano 105 Shifters Shimano Crankset shimano Cassette shimano Chain shimano Brakes Shimano Wheels R5000 Tyres continental Stem scott Handlebar scott Seatpost scott Saddle fizik Pedals Shimano","Scott Speedster with C1 carbon fork",5250,5,"NA for bikehub",NA,"Scott Speedster with C1 carbon fork Western Cape, Somerset West, Audas Estate used R 5,250 Insure from R 8.82 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: paul langeveld ","Scott Speedster with C1 carbon fork Western Cape, Somerset West, Audas Estate used R 5,250 Insure from R 8.82 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: paul langeveld ",NA,1,1,"2021-07-07 12:21:44","Western Cape","road bikes"
"3","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/483765/look-795-with-enve-34-wheelset",3,"Your payment is held securely until you receive the goods.Info box: Frame & Fork look 795 Front Derailleur Shimano dura ace 9000 Rear Derailleur Shimano dura ace 9000 Shifters Shimano dura ace 9000 Crankset Look Zed Cassette Shimano dura ace 9000 11 speed Chain Shimano dura ace 9000 Brakes Shimano dura ace 9000 Wheels Enve 3.4 Clincher wheelset Tyres Continental GP 4000 Stem Integrated Seatpost Integrated Saddle Selle Italia monorail Pedals Look blade","Look 795 with ENVE 3.4 wheelset",75000,14,"NA for bikehub",NA,"Look 795 with ENVE 3.4 wheelset Limpopo, Polokwane used R 75,000 Insure from R 125.93 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: SoulCycler ","Look 795 with ENVE 3.4 wheelset Limpopo, Polokwane used R 75,000 Insure from R 125.93 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: SoulCycler ",NA,1,1,"2021-07-07 12:21:46","Limpopo","road bikes"
"4","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/hardtail-mountain-bikes/456310/grand-canyon-cf-slx-29",4,"Your payment is held securely until you receive the goods.Info box: Frame Grand Canyon CF SLX Fork Rock Shox SID XX Carbon World Cup with Pop Lock (100mm) Front Derailleur Sram XO Rear Derailleur Sram XO Shifters Sram XO Grip Shift Crankset Sram XO 175mm Cassette Shimano XT Chain Sram XO Brakes Sram XO Wheels Mavic Crossmax SLR Tyres MAXXIS Crossmark 29x2,25 I (rear) and II (front) Stem RITCHEY WCS 90mm Handlebar RITCHEY WCS Seatpost RITCHEY WCS Saddle FIZIK Gobi Pedals No","Grand Canyon CF SLX 29""",32000,10,"NA for bikehub",NA,"Grand Canyon CF SLX 29"" Western Cape, Cape Town, Vredehoek used R 32,000 Insure from R 53.73 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Jean-Baptiste ","Grand Canyon CF SLX 29"" Western Cape, Cape Town, Vredehoek used R 32,000 Insure from R 53.73 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Jean-Baptiste ",NA,22,8,"2021-07-07 12:21:48","Western Cape","hardtail mountain bikes"
"5","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/485096/specialised-era-comp",5,"Dealer / business userInfo box: Frame ERA Comp Aluminium Fork Rock Shox Reba RLT Rear Shock Specialised Fox Front Derailleur SRAM X7 (3 speed) Rear Derailleur SRAM X7 Shifters SRAM X7 Crankset Truvativ GXP Cassette 11T-36T (10speed) Brakes Front - Shimano BL-MT200 / Rear - Avid Elixir RSL Wheels Specialsied DT Swiss 420SL Tyres Front - Specialised ""The Captain"" 26x2.0 / Rear - specialised ""Fast Trak LK"" 26x2.0 Stem Specialised Handlebar Specialised Seatpost Specialised Saddle Specialised henge body geometry Pedals pedals not included","Specialised ERA Comp",10000,13,"NA for bikehub",NA,"Specialised ERA Comp Gauteng, Sandton, Beverley used R 10,000 Insure from R 16.79 Message Seller Phone Number Sold by: The Bicycle Service Company Dealer / business user ","Specialised ERA Comp Gauteng, Sandton, Beverley used R 10,000 Insure from R 16.79 Message Seller Phone Number Sold by: The Bicycle Service Company Dealer / business user ",NA,4,4,"2021-07-07 12:21:50","Gauteng","dual suspension bikes"
"6","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/vintage-bikes/485092/gorgeous-motobecane-c4-reynolds-531",6,"Your payment is held securely until you receive the goods.Info box: Frame & Fork Reynolds 531 Front Derailleur Simplex Rear Derailleur Simplex Shifters Simplex Crankset Stronglight Wheels Wolber rims Tyres Michelin Dynamic Classic - new Pedals --none--","Gorgeous!! Motobecane C4, Reynolds 531",9000,4,"NA for bikehub",NA,"Gorgeous!! Motobecane C4, Reynolds 531 Eastern Cape, Port Elizabeth used R 9,000 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Wazza_pe (4 Reviews) ","Gorgeous!! Motobecane C4, Reynolds 531 Eastern Cape, Port Elizabeth used R 9,000 Message Seller Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Wazza_pe (4 Reviews) ",NA,14,1,"2021-07-07 12:21:52","Eastern Cape","vintage bikes"
"7","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/469855/trek-domane-sl-disc-62cm",7,"Dealer / business userInfo box: Frame & Fork CARBON Front Derailleur SRAM FORCE AXS Rear Derailleur SRAM FORCE AXS 12SPD Shifters SRAM FORCE AXS 12SPD Crankset SRAM FORCE AXS + POWER Cassette SRAM FORCE AXS 12SPD Chain SRAM FORCE AXS 12SPD Brakes SRAM FORCE HYDRAULIC Wheels BONTRAGER PARADIGM COMP 25 Tyres TUFO Stem BONTRAGER BLENDR Handlebar BONTRAGER Seatpost CARBON Saddle BONTRAGER MONTROSE ELITE Pedals N/A","TREK DOMANE SL DISC 62CM",89000,9,"NA for bikehub",NA,"TREK DOMANE SL DISC 62CM Free State, Bloemfontein, Langenhovenpark used R 89,000 Insure from R 149.43 Message Seller Phone Number Sold by: Enduroplanet Dealer / business user (12 Reviews) ","TREK DOMANE SL DISC 62CM Free State, Bloemfontein, Langenhovenpark used R 89,000 Insure from R 149.43 Message Seller Phone Number Sold by: Enduroplanet Dealer / business user (12 Reviews) ",NA,554,10,"2021-07-07 12:21:54","Free State","road bikes"
"8","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/road-bikes/468116/trek-emonda-5-62cm",8,"Dealer / business userInfo box: Frame & Fork Carbon Front Derailleur Shimano Ultegra Rear Derailleur Shimano Ultegra 11Spd Shifters Shimano Ultegra 11Spd Crankset Shimano Ultegra Cassette Shimano Ultegra 11Spd Chain Shimano Ultegra Brakes Shimano Ultegra Wheels Vision 55 Carbon Tyres Continental Gatorskin Stem Ritchey Alloy Handlebar FSA Alloy Seatpost FSA Alloy Saddle Ritchey Pedals n/a","TREK EMONDA 5 62CM",45000,11,"NA for bikehub",NA,"TREK EMONDA 5 62CM Free State, Bloemfontein, Langenhovenpark used R 45,000 Insure from R 75.56 Message Seller Phone Number Sold by: Enduroplanet Dealer / business user (12 Reviews) ","TREK EMONDA 5 62CM Free State, Bloemfontein, Langenhovenpark used R 45,000 Insure from R 75.56 Message Seller Phone Number Sold by: Enduroplanet Dealer / business user (12 Reviews) ",NA,554,10,"2021-07-07 12:21:57","Free State","road bikes"
"9","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/485088/momsen-vipa-full-carbon-29-1x12",10,"Dealer / business userInfo box: Frame Momsen Full Carbon Fork Rockshox Reba Solo Air 100mm Rear Shock Fox Factory Kashima Rear Derailleur Sram 11 or 12 Speed Shifters Sram 11 or 12 Speed Crankset Sram GX Cassette Sram 11 or 12 Speed Brakes Shimano XTR Wheels Syncros/Roval (Made by DT Swiss) Stem KCNC Handlebar Momsen carbon Seatpost Momsen","Momsen Vipa Full Carbon 29 - 1x12",27000,9,"NA for bikehub",NA,"Momsen Vipa Full Carbon 29 - 1x12 Western Cape, George used R 27,000 Insure from R 45.33 Message Seller Sold by: Crain Dealer / business user (137 Reviews) ","Momsen Vipa Full Carbon 29 - 1x12 Western Cape, George used R 27,000 Insure from R 45.33 Message Seller Sold by: Crain Dealer / business user (137 Reviews) ",NA,2270,26,"2021-07-07 12:22:01","Western Cape","dual suspension bikes"
"10","https://bikehub.co.za/classifieds/g/bikes?page=1",1,"https://bikehub.co.za/classifieds/item/dual-suspension-bikes/485050/momsen-vipa",11,"Your payment is held securely until you receive the goods.Info box: Frame Momsen VIPA large Fork Fox evolution series Rear Shock Fox float evolution series Front Derailleur Shimano SLX Rear Derailleur Shimano XT Shifters Shimano SLX Crankset Shimano XT Cassette 10spd shimano Chain Shimano Brakes Shimano Wheels Stans Rapid Tyres Maxxis ardent and ardent race Stem Rapide Handlebar Rapide handlebar","Momsen VIPA",25000,5,"NA for bikehub",NA,"Momsen VIPA Western Cape, Brackenfell, Protea Heights used R 25,000 Insure from R 41.98 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Jannas1 (2 Reviews) ","Momsen VIPA Western Cape, Brackenfell, Protea Heights used R 25,000 Insure from R 41.98 Message Seller Phone Number Buy with Bike Hub Pay Buy safely with Bike Hub Pay Your payment is held securely until you receive the goods. Learn More Sold by: Jannas1 (2 Reviews) ",NA,41,3,"2021-07-07 12:22:03","Western Cape","dual suspension bikes"
